gamecode_full,gamecode_num,date,group,round,home_team_code,away_team_code,home_score,away_score,season_code
E2025_2,2,2025-09-30T00:00:00+00:00,Regular Season,RS,BAS,OLY,96,102,E2025
E2025_6,6,2025-09-30T00:00:00+00:00,Regular Season,RS,PAN,MUN,87,79,E2025
E2025_13,13,2025-10-02T00:00:00+00:00,Regular Season,RS,MAD,OLY,89,77,E2025
E2025_18,18,2025-10-03T00:00:00+00:00,Regular Season,RS,PAN,BAR,96,103,E2025
E2025_22,22,2025-10-09T00:00:00+00:00,Regular Season,RS,BAS,PAN,84,86,E2025
E2025_27,27,2025-10-10T00:00:00+00:00,Regular Season,RS,OLY,DUB,86,67,E2025
E2025_34,34,2025-10-14T00:00:00+00:00,Regular Season,RS,OLY,IST,78,82,E2025
E2025_36,36,2025-10-15T00:00:00+00:00,Regular Season,RS,PAN,ASV,91,85,E2025
E2025_43,43,2025-10-16T00:00:00+00:00,Regular Season,RS,TEL,OLY,94,95,E2025
E2025_45,45,2025-10-17T00:00:00+00:00,Regular Season,RS,IST,PAN,81,95,E2025
E2025_58,58,2025-10-24T00:00:00+00:00,Regular Season,RS,MUN,OLY,71,96,E2025
E2025_60,60,2025-10-24T00:00:00+00:00,Regular Season,RS,VIR,PAN,92,75,E2025
E2025_65,65,2025-10-28T00:00:00+00:00,Regular Season,RS,PAN,TEL,99,85,E2025
E2025_70,70,2025-10-29T00:00:00+00:00,Regular Season,RS,OLY,MCO,87,92,E2025
E2025_77,77,2025-10-31T00:00:00+00:00,Regular Season,RS,MCO,PAN,92,84,E2025
E2025_79,79,2025-10-31T00:00:00+00:00,Regular Season,RS,OLY,HTA,62,58,E2025
E2025_83,83,2025-11-05T00:00:00+00:00,Regular Season,RS,RED,PAN,86,68,E2025
E2025_89,89,2025-11-07T00:00:00+00:00,Regular Season,RS,OLY,PAR,80,71,E2025
E2025_93,93,2025-11-11T00:00:00+00:00,Regular Season,RS,PRS,PAN,95,101,E2025
E2025_100,100,2025-11-12T00:00:00+00:00,Regular Season,RS,OLY,ZAL,95,78,E2025
E2025_104,104,2025-11-13T00:00:00+00:00,Regular Season,RS,MAD,PAN,77,87,E2025
E2025_108,108,2025-11-14T00:00:00+00:00,Regular Season,RS,MIL,OLY,88,87,E2025
E2025_114,114,2025-11-20T00:00:00+00:00,Regular Season,RS,PAN,DUB,103,82,E2025
E2025_117,117,2025-11-21T00:00:00+00:00,Regular Season,RS,OLY,PRS,98,86,E2025
E2025_123,123,2025-11-25T00:00:00+00:00,Regular Season,RS,PAN,PAR,91,69,E2025
E2025_128,128,2025-11-26T00:00:00+00:00,Regular Season,RS,RED,OLY,91,80,E2025
E2025_139,139,2025-12-05T00:00:00+00:00,Regular Season,RS,PAN,PAM,79,89,E2025
E2025_143,143,2025-12-11T00:00:00+00:00,Regular Season,RS,MIL,PAN,96,89,E2025
E2025_148,148,2025-12-12T00:00:00+00:00,Regular Season,RS,BAR,OLY,98,85,E2025
E2025_153,153,2025-12-16T00:00:00+00:00,Regular Season,RS,ULK,PAN,77,81,E2025
E2025_155,155,2025-12-16T00:00:00+00:00,Regular Season,RS,OLY,PAM,92,99,E2025
E2025_163,163,2025-12-18T00:00:00+00:00,Regular Season,RS,PAN,HTA,93,82,E2025
E2025_169,169,2025-12-19T00:00:00+00:00,Regular Season,RS,OLY,ASV,107,84,E2025
E2025_176,176,2025-12-23T00:00:00+00:00,Regular Season,RS,ZAL,PAN,85,92,E2025
E2025_180,180,2025-12-26T00:00:00+00:00,Regular Season,RS,VIR,OLY,94,97,E2025
E2025_188,188,2026-01-02T00:00:00+00:00,Regular Season,RS,PAN,OLY,82,87,E2025
E2025_194,194,2026-01-06T00:00:00+00:00,Regular Season,RS,ULK,OLY,88,80,E2025
E2025_197,197,2026-01-06T00:00:00+00:00,Regular Season,RS,PAN,MIL,74,87,E2025
E2025_204,204,2026-01-08T00:00:00+00:00,Regular Season,RS,PAN,VIR,84,71,E2025
E2025_209,209,2026-01-09T00:00:00+00:00,Regular Season,RS,OLY,MUN,95,80,E2025
E2025_219,219,2026-01-14T00:00:00+00:00,Regular Season,RS,PAR,OLY,66,104,E2025
E2025_212,212,2026-01-15T00:00:00+00:00,Regular Season,RS,MUN,PAN,85,78,E2025
E2025_224,224,2026-01-20T00:00:00+00:00,Regular Season,RS,OLY,TEL,100,93,E2025
E2025_225,225,2026-01-20T00:00:00+00:00,Regular Season,RS,PAN,BAS,93,74,E2025
E2025_231,231,2026-01-22T00:00:00+00:00,Regular Season,RS,IST,OLY,68,74,E2025
E2025_233,233,2026-01-22T00:00:00+00:00,Regular Season,RS,TEL,PAN,75,71,E2025
E2025_244,244,2026-01-29T00:00:00+00:00,Regular Season,RS,OLY,BAR,87,75,E2025
E2025_250,250,2026-01-30T00:00:00+00:00,Regular Season,RS,ASV,PAN,78,79,E2025
E2025_253,253,2026-02-03T00:00:00+00:00,Regular Season,RS,DUB,OLY,108,98,E2025
E2025_258,258,2026-02-03T00:00:00+00:00,Regular Season,RS,PAN,MAD,82,81,E2025
E2025_265,265,2026-02-05T00:00:00+00:00,Regular Season,RS,PAR,PAN,78,62,E2025
E2025_270,270,2026-02-06T00:00:00+00:00,Regular Season,RS,OLY,VIR,109,77,E2025
E2025_272,272,2026-02-12T00:00:00+00:00,Regular Season,RS,OLY,RED,92,86,E2025
E2025_279,279,2026-02-13T00:00:00+00:00,Regular Season,RS,PAN,ULK,83,85,E2025
